prize;surface;offer name;rooms ;standard;localization_info;localization_name;latitude;longitude;floor_number;rental_cost;form_of_property;extras;garage;availability;year_of_construction;type_of_building;elevator;media;security;building_material;market
Zapytaj o cenę;36,46 m²;Rozkładowe, 2-pokojowe - idealne pod inwestycję;2;do wykończenia;Współrzędne dokładne;Bydgoszcz, Fordon, ul. Fordońska 428;53.143395;18.157539;5/5;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
438 880 zł;54,86 m²;Trzypokojowe mieszkanie w Ciechocinku (M71);3;do wykończenia;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Ciechocinek, aleksandrowski, kujawsko-pomorskie;52.869938;18.809685;3;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2024;blok;tak;brak informacji;brak informacji;brak informacji;pierwotny
285 824 zł;49,28 m²;Zielona Strefa- mieszkanie na piętrze I;3;do wykończenia;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Grudziądz, Grudziądz, kujawsko-pomorskie;53.46469;18.77287;2/3;Zapytaj;pełna własność;Zapytaj;Zapytaj;brak informacji;2024;blok;nie;internet;domofon / wideofon;brak informacji;pierwotny
355 346 zł;43,16 m²;Mieszkanie 2 pokoje 0% prowizji;2;Zapytaj;Współrzędne dokładne;Bydgoszcz, Fordon, ul. Akademicka;53.146564;18.125972;4/4;Zapytaj;Zapytaj;Zapytaj;garaż/miejsce parkingowe;2023-01-01;2023;brak informacji;tak;internet, telewizja kablowa;monitoring / ochrona, teren zamknięty;pustak;pierwotny
310 329 zł;35,67 m²;Dwa pokoje deweloperskie lub pod klucz.;2;Zapytaj;Współrzędne dokładne;ul. Kaszubska , Bydgoszcz, Bydgoszcz;53.133819;18.006329;parter/5;Zapytaj;Zapytaj;taras, balkon;garaż/miejsce parkingowe;2023-04-01;2023;apartamentowiec;tak;internet;monitoring / ochrona, drzwi / okna antywłamaniowe, domofon / wideofon, teren zamknięty;silikat;pierwotny
294 597 zł;36,37 m²;2 pokoje, 0 pcc, 0% prowizji;2;do wykończenia;Współrzędne dokładne;Bydgoszcz, Fordon, ul. Fordońska;53.144848;18.160458;3/5;Zapytaj;Zapytaj;Zapytaj;garaż/miejsce parkingowe;2023-01-01;2023;blok;tak;internet, telewizja kablowa;monitoring / ochrona, domofon / wideofon;brak informacji;pierwotny
394 060 zł;46,36 m²;2 pokojowe z widokiem na Wisłę, 0% pcc, 0 prowizji;2;do wykończenia;Współrzędne dokładne;Bydgoszcz, Fordon, ul. Fordońska;53.14396;18.15906;3/5;Zapytaj;Zapytaj;Zapytaj;garaż/miejsce parkingowe;2023-01-01;2023;blok;tak;internet, telewizja kablowa;monitoring / ochrona, domofon / wideofon;brak informacji;pierwotny
359 000 zł;40,32 m²;Apartament dwupokojowy - strona południowa;2;do wykończenia;Współrzędne dokładne;Bydgoszcz, Osiedle Leśne, ul. Skromna;53.14504;18.008791;2/6;Zapytaj;Zapytaj;Zapytaj;garaż/miejsce parkingowe;2023-07-29;2023;apartamentowiec;tak;brak informacji;monitoring / ochrona, domofon / wideofon;cegła;pierwotny
469 480,40 zł;43,32 m²;"Nowe 2 - pokojowe ""pod klucz"", 0% pcc, 0% prowizji";2;do zamieszkania;Współrzędne dokładne;Bydgoszcz, Szwederowo, ul. Stanisława Leszczyńskiego;53.11425;17.990006;parter/3;Zapytaj;Zapytaj;Zapytaj;garaż/miejsce parkingowe;2023-04-17;2022;apartamentowiec;tak;brak informacji;domofon / wideofon;brak informacji;pierwotny
468 186,68 zł;41,78 m²;"Nowe 2 - pokojowe ""pod klucz"", 0% pcc, 0% prowizji";2;do zamieszkania;Współrzędne dokładne;Bydgoszcz, Szwederowo, ul. Stanisława Leszczyńskiego;53.11425;17.990006;1/3;Zapytaj;Zapytaj;Zapytaj;garaż/miejsce parkingowe;2023-04-17;2022;apartamentowiec;tak;brak informacji;domofon / wideofon;brak informacji;pierwotny
